Id экзамена;№ вопроса;Текст вопроса;Картинка из вопроса;Оценка за экзамен;Транскрибация ответа
3373875;2;"Вопрос устной части экзамена. Примите участие в диалоге. Ответьте на вопросы собеседника полными предложениями.
– Какие фильмы или сериалы Вы любите смотреть? Фантастику;детективы или романтические фильмы? – ... – Вам нравятся новые фильмы или старые? Цветные или чёрно-белые?Почему? – ... – О чём Ваш любимый фильм? – ... – Кому бы Вы посоветовали его посмотреть и почему? – ...";;2;Следующий ваш вопрос. Вам нужно принять участие в диалоге. Ответьте на вопросы собеседника полными предложениями. Какие фильмы или сериалы вы любите смотреть? Фантастику, детективы или романтические фильмы? Я очень люблю фантастику, также я люблю боевики. Очень нравится что-то необычное. Не слишком спокойное, чтобы был спецэмоций. Лучше, конечно, если это будет что-то не совсем реальное. Ну, из мира фантастики. И также нечто не совсем современное, что-то больше про старину. Что-то то, чего не существует. Хорошо. Вам нравятся новые фильмы или старые? Цветные или черно-белые? И почему больше предпочитают старые фильмы? Конечно, цветные. Черно-белые, как-то не совсем вызывают бурю эмоций. Люблю старые больше, потому что смысла в них присутствует больше. Новые фильмы, они слишком слишком обычные, слишком повторяются. Смысл в них один и тот же. В старых фильмах их и делали по-другому, и на них тратили больше времени, и не так много монтажа там присутствует. О чем ваш любимый фильм? Если честно, любимых фильмов у меня не так много. В общем, они все достаточно схожи. Например, даже не знаю, какие у меня есть любимые фильмы. «Волшебник из обманного города». Я его смотрела раза два, но запомнилась именно постановка кадра. Необычные краски, необычные цветовые сочетания, необычный цвет, необычные персонажи. Если сравнивать с книгой, то немножко отличается. Вполне интересный фильм. Кому бы вы посоветовали посмотреть этот фильм и почему? Советовала бы, наверное, всем своим знакомым. Изначально мы его примерно так же описывали, но говорили, что обязательно нужно посмотреть, потому что очень интересно, очень необычно. Все мои знакомые, в принципе, любят фильмы не по смыслу больше, а больше по постановке кадра. Интересует больше эстетика самого фильма. Поэтому советовала бы им. Хорошо.
3373875;3;"Вопрос устной части экзамена. Начните диалог. Получите нужную Вам информацию. Будьте вежливы.
Представьте ситуацию. Вы пришли в кассы железнодорожного вокзала. Вам нужно купить билеты на поезд до Ташкента. Поздоровайтесь. Узнайте у кассира о наличии билетов;их стоимости. Спросите о скидке для детей. Поблагодарите за полученную информацию и оцените работу кассира.";;1;Вам также нужно начать диалог. Получите нужную вам информацию, будьте вежливы. Представьте ситуацию. Вы пришли в кассу железнодорожного вокзала. Вам нужно купить билеты на поезд до Ташкента. Поздоровайтесь. Узнайте у кассира о наличии билетов и их стоимости. Спросите о скидке для детей. Поблагодарите за полученную информацию и оцените работу кассира. Здравствуйте. Я бы хотела приобрести билет на поезд до Ташкента. Интересует нас следующей недели. Скажите, есть ли места и желающими возле окошка где-то. Места у нас есть. Билет будет вам стоить 10 000 рублей. Скажите, есть какие-либо скидки для детей? Для детей до 14 лет скидка составляет 50%. Отлично. Мне нужны два билета для меня и для ребенка. Ребенку 12 лет. Места рядышком сверху. Возле окошка. Хорошо. Спасибо. Теперь вам нужно
3373875;4;"Вопрос устной части экзамена. Опишите картинку.
Ваше сообщение должно содержать следующую информацию: – Что Вы видите на этом рисунке (место;время года и т.д.)? – Кто изображён на рисунке? – Что они делают? – Опишите подробно любого человека;изображённого на рисунке. – А Вы любите отдых на природе? – Вы часто бываете на природе с семьей;друзьями?
";https://storage-public.odin.study/049deff0-285e-4ffe-b1b7-54aa01eb4b45.PNG;2;Можно рассмотреть. Время есть. Можно не сразу описывать. Ваше сообщение должно содержать следующую информацию. Что вы видите на этом рисунке? Время года. Кто изображен на рисунке? Что делают эти люди? Также нужно подробно описать любого человека. Когда опишите картинку, вопросы к вам, любители отдыха на природе. Часто ли вы бываете на природе с семьей и друзьями? Как только будете готовы описывать, можете начинать. Время есть. Рассмотрите. Готовиться. Давайте. На картинке изображено лето. Семья собралась на пикник. Находятся они на берегу реки. На рисунке изображена семья. Мама, папа и трое детей. Мама и дочка готовят еду. То есть накрывают. Отец и сыновья готовят шашлык, курицу, курицу, курицу, курицу, курицу, курицу, курицу, курицу, курицу, курицу, курицу, курицу, курицу. livest. Я пишу маме. Мама достает столовые предборы. Она достаточно рада. Дочка помогает ей наложить все на стол. Ее нужно надрезать. Девушка среднего возраста. С короткой стрижкой. Легко одета. Наверное, все. Любите ли вы отдых на природе? Часто ли бываете на природе с семьей и друзьями? Отдых на природе я люблю. Но единственно не такой семейный, более спокойный. Люблю кухню. Я люблю кухню. Я люблю кухню. Я люблю кухню. Возможно, на берегу реки. Наверное, с едой. Больше интересует лес. Либо что-то подобное. На природе бываю достаточно часто. Но сама. Нежели с друзьями и семьей. Хорошо. Картинку вы описали. На представленные вопросы ответили. Хочу с вами дополнительно рассказать, откуда вы приехали. Я приехала из Казахстана. Из небольшого поселка. Называется Новокречановка. Поселок редко кто знает. Но он достаточно красивый. Очень чистый поселок. Там находятся в основном коттеджи. Очень чистая местность. Очень озелененная. Нежели другие населенные пункты. Сколько я не знаю. Но это очень красивый поселок. Другие населенные пункты. Сколько я не была в различных поселках. Крепожи сел. Такого не видела даже в городах. И в садах таких не было. Там есть отдельный парк. Достаточно обширный. В парке находится небольшое озеро. Единственным таким интересным фактом. Там постоянно пролетают лебеди. Хотя в той местности хоть и лебеди не должно быть. Также вот в этом месте также в данном поселке находится школа, больница. Есть ли какие-то места, которые туристам посмотреть интересно? Может какая-то достопримечательность у вас там есть? К сожалению, нет. Будет достаточно тяжело туда доехать. Там небольшие проблемы с дорогой. А вы когда приезжаете на работу, получите вид на жительство в Омске? Планируете жить или какой-то другой город рассматривать? Пока планировала Омск. Возможно потом еду, но не навсегда, конечно, так. На зиму в какие-то более теплые места. Допустим, в Сочи или Краснодар, что-то в этом районе. Но так себе я считаю, что это Омск. Омск нравится людей за менталитет. Здесь достаточно хорошие люди. Не думаю, что в каких-то других городах будут такие же. Хорошо.
3373876;1;"Добро пожаловать на экзамен! Вопрос устной части экзамена. Начните диалог.
Вы пришли в больницу; чтобы пройти обследование. Узнайте;когда принимает врач; и скажите;что Вам нужно.";;1;И теперь мы можем перейти к нашей устной части экзамена. Ваше первое задание. Вам нужно начать диалог. Вы пришли в больницу, чтобы пройти обследование. Узнайте, когда принимает врач и скажите, что вам нужно. Представим, что я работник больницы, и вам нужно со мной заговорить. Добрый день. Мне хотелось бы уточнить, когда принимает врач, в какие дни, в какое время, в каких кабинетах. И стоит ли к нему записываться заранее, или можно прийти без записи в порядке живой очереди, пройти в кабинет? Здравствуйте. А какой врач вас интересует? Терапевт врача в практике. К терапевту я бы советовала записаться заранее, потому что по живой очереди это достаточно долго, очереди большие. А по записи в свое время вы придете, и вас примут. Терапевт у нас находится на втором этаже, в 25 кабинете. Вам на какой день нужно? На ближайшее время? Да, на ближайшее. Есть запись на завтра в 10 часов утра. Вас устроит? Лучше на 11, если есть такая возможность. Есть на 11.30. Подойдет на 11.30. Хорошо, тогда запишу вас.
3373876;2;"Вопрос устной части экзамена. Примите участие в диалоге. Ответьте на вопросы собеседника полными предложениями.
– Блюда какой кухни Вы любите? Почему? – … – Что Вы умеете готовить? – … – Какое любимое блюдо в Вашей семье? – … – Вы ходите в рестораны и кафе? В какие? Если не ходите;то почему? – …";;2;Следующее ваше задание. Вам нужно принять участие в диалоге. Ответьте на вопросы собеседника полными предложениями. Блюдо какой кухни вы любите? Почему? Мне нравятся блюда самых разнообразных видов. Начиная от средиземноморской кухни до азиатской, кухни Китая, Японии, преимущественно с Балканского полуострова. Что-нибудь. В моей родной стране тоже очень много вкусных блюд готовят. Так что абсолютно любые. Что вы умеете готовить? Все что угодно. Поскольку я живу сам, меня никто не готовит, я вынужден учиться готовить самостоятельно. Поэтому все что угодно. Какое блюдо лучше всего получается? Любое, но главное захотеть. Я за что не возьмусь, у меня все получится, если я захочу. Какое любимое блюдо в вашей семье? Тоже не так просто ответить на этот вопрос. Предположим, что пельмени. Хорошо. Ходите ли вы в рестораны и кафе? Если не ходите, то почему? Да, я периодически посещаю в основном кафе. Рестораны очень редко, только по каким-то особым случаям. А кафе часто, когда нечего, допустим, дома поесть. Можно сходить куда-нибудь в кафе, где недорого, где меня устраивает выбор.
3373876;3;"Вопрос устной части экзамена. Начните диалог. Получите нужную Вам информацию. Будьте вежливы.
Представьте ситуацию. Вы увидели объявление об открытии спортивного клуба в Вашем районе. Позвоните и поговорите с менеджером.Поздоровайтесь. Узнайте;сколько стоит посещение спортивного клуба. Поблагодарите за полученную информацию и оцените работу с Вами как с будущим клиентом.";;1;Представьте ситуацию. Вы увидели объявление об открытии спортивного клуба в вашем районе. Позвоните и поговорите с менеджером. Поздоровайтесь. Узнайте сколько стоит посещение спортивного клуба. Поблагодарите за полученную информацию и оцените работу с вами как с будущим клиентом. Добрый день. Я хотел бы узнать об спортивном клубе. Я увидел объявление. Хотел бы узнать, сколько стоит посещение. Нужно ли записываться туда заранее или можно просто так прийти? Здравствуйте. Вас интересует разовое посещение клуба? Хотелось бы сперва разовое посещение, а затем узнать, если мне понравится, можно ли обонимент. Разовое посещение будет вам стоить 700 рублей. Работаем мы с 9 утра до 9 вечера. Поэтому в любое время, когда вам удобно, можете подходить. Сменную одежду, обувь с собой иметь. Обязательно у нас раздевалки, душевые, все это имеется. Абонемент сколько будет? Абонемент будет стоить 6000 рублей. Так как мы только открылись, у нас скидки. Поэтому за эту стоимость вы можете посещать неограниченное количество раз наш спортивный клуб. Спасибо большое. Хорошо.
3373876;4;"Вопрос устной части экзамена. Опишите картинку.
Ваше сообщение должно содержать следующую информацию. – Что изображено на рисунке (место;время года и т.д.)? – Кто изображён на рисунке? – Что они делают? – Расскажите подробнее о любом человеке;изображённом на рисунке. – Сколько детей в вашей семье? Расскажите о них. – Как Вы играете с детьми?
";https://storage-public.odin.study/37a54d41-aade-4da2-a13d-6ab7d3ef8035.PNG;2;Теперь вам нужно описать картинку. Описывать можно не сразу, можно рассмотреть, подготовиться. Ваше сообщение должно содержать следующую информацию. Что изображено на рисунке, место, время года. Кто изображен на рисунке. Что делают эти люди. Также нужно рассказать подробнее о любом человеке, изображенном на рисунке. И когда вы ответите на эти вопросы, опишите картинку. Вопросы к вам. Сколько детей в вашей семье? Расскажите о них. И как вы играете с детьми? Как будете готовы к этому? Как будете готовы? Описывать картинку можете начинать. Пока рассмотрите, время есть. Как вы обращаете внимание к этому? Тут сразу можно заметить, что большая многодетная семья. Люди разных поколений. Тут и бабушка, и дедушка, мать. Отца непонятно, есть он тут или нет. Возможно, вот этот слева мужчина, который моет посуду, это отец. Но так сразу и не скажешь. Может показаться, что это старший брат, например. Детям не понятно. Дети есть совсем маленькие, которые даже еще не ходят. Есть постарше, в том числе, которые могут самостоятельно себя обслужить, моют посуду, помогают старшим. Собака в левом нижнем углу спит на лежанке. Перед ней тарелка с едой и миска с водой. Дедушка, нагнувшись, играет совсем маленький. Играет совсем маленьким ребенком. На полу можно увидеть разные игрушки. Кубики с числами, плюшевого медведя. Дети за столом принимают пищу. Также бабушка пьет чай. Мать. Не совсем понятно, что делает. На полках можно увидеть кухонную утварь, посуду, чайник. За окном лето или поздняя весна. Вполне возможно, что и ранний осень, начало сентября. Тоже так может быть. Примерно так. Можете выбрать человека с этой картинки и подробнее его описать? Допустим, дедушка. Дедушка склонился над своим младшим внуком, возможно, и правнуком. В играющей позе, скажем так. Он внезапно дома обут в серые ботинки. На нем коричневые брюки темного цвета, штаны светлого цвета, рубашка. Дед седой, уже слысенный, скажем так. Хорошо. Сколько детей в вашей семье? Расскажите о них. И как вы играете с детьми? У меня в семье единственных детей нет. У моих детей у меня нет, а у родителей я один. А двоюродные братья и сестры? Одна единственная двоюродная сестра есть. Она на два года старше меня. Так что, ну, как бы с детьми я не играю. Хорошо. Можете рассказать, откуда вы приехали? Да, конечно, я приехал из республики Казахстан, из города Караганды. Я прожил там всю жизнь. Родился там же, ходил в детский сад и школу там закончил. Приехал в Омск и приезжал до этого несколько раз. В 19 году был, потом в 22 году приехал. Уже решал вопрос о том, чтобы поступить здесь в университет. В 23 году я приехал и поступил в Омский госуниверситет. Уже обучаю второй год. А на каком факультете вы обучаетесь? Какую специальность получите? На юридическом факультете обучаюсь по специальности, судебно-прокурорской деятельности. Планируете работать по профессии или рассматриваете какую-то другую деятельность? Конечно, планирую. Планирую получить гражданство в Российской Федерации, жить здесь всю оставшуюся жизнь и работать по специальности. А когда видное жительство получите, планируете в Омске жить или какой-то другой город рассматривать? Не обязательно. Я планирую здесь окончить специалитет, вот пять курсов, а дальше уже будет понятно, что делать дальше. Возможно, в аспирантуру буду поступать в другой город, Санкт-Петербург, например, или куда-нибудь еще. Там, возможно, останусь. А может, и в Омске. А чем вам нравится Омск? В первый раз, когда я приехал в Омск, мне очень понравился, потому что это было первое место за пределами республики Казахстан, где я вообще был за границей. И меня город очень впечатлил. Вроде бы, как бы, не сказать, что он очень сильно находится от Казахстана, но различия все равно есть. Тут как-то все больше, что ли, дороги шире, люди другие совершенно. И мне здесь больше нравится. Здесь как-то своя какая-то особая атмосфера, которой в Казахстане нет, я не встречал. И последний вопрос от Адама. Есть ли у вас домашнее животное? В Караганде есть кот, а здесь нет. Я, потому что в общежитии живу, я тут не буду жить. Хорошо. На этом мы со мной узнаем часть истории.
3373878;2;"Вопрос устной части экзамена. Примите участие в диалоге. Ответьте на вопросы собеседника полными предложениями.
– Что Вы делаете;когда у Вас есть свободное время? Чем увлекаетесь? – ... – Скажите; пожалуйста;какой вид спорта Вам нравится? Занимаетесь ли Вы спортом? Если да;то каким? – ... – Какие праздники Вы любите праздновать?– ... – Какие фильмы Вы обычно смотрите? Где Вы любите смотреть фильмы: в кинотеатре или дома? – ...";;2;Следующее ваше задание. Вам нужно принять участие в диалоге. Ответьте на вопросы собеседника полными предложениями. Что вы делаете, когда у вас есть свободное время? Чем увлекаетесь? Я посещаю бассейн, занимаюсь плаванием и настольными играми. Скажите, какой вид спорта? Какой вид спорта вам нравится? Занимаетесь ли вы спортом? Если да, то каким? Каким-то определенным видом спорта я не занимаюсь. Занимаюсь волейболом, занимаюсь плаванием. И также часто посещаю бассейн раз за 3-4 недели. Какие праздники вы любите праздновать? 8 марта и день рождения. А почему именно эти праздники? Потому что тогда подарочки получаем мы. А почему именно эти праздники? Какие фильмы вы обычно смотрите? Где вы любите смотреть фильмы? В кинотеатре или дома? Зачастую я смотрю фильмы дома, но очень люблю смотреть фильмы в кинотеатрах и посещать их. А какие фильмы смотрите обычно? Турецкие фильмы, сериалы и русские сериалы. Хорошо.
3373878;3;"Вопрос устной части экзамена. Начните диалог. Получите нужную Вам информацию. Будьте вежливы.
Представьте ситуацию. Вы пришли в кассы железнодорожного вокзала. Вам нужно купить билеты на поезд до Ташкента. Поздоровайтесь. Узнайте у кассира о наличии билетов;их стоимости. Спросите о скидке для детей. Поблагодарите за полученную информацию и оцените работу кассира.";;1;Вам также нужно начать диалог. Получите нужную вам информацию. Будьте вежливы. Представьте ситуацию. Вы пришли в кассу железнодорожного вокзала. Вам нужно купить билеты на поезд до Ташкента. Поздоровайтесь. Узнайте у кассира о наличии билетов и их стоимости. Спросите о скидке для детей. Поблагодарите за полученную информацию и оцените работу кассира. Здравствуйте. Здравствуйте. Подскажите, пожалуйста, есть ли у вас билеты до Ташкента? И звучит ли их стоимость? И могут ли быть какие-то скидки для детей? Здравствуйте. Билеты у нас есть. Взрослый билет стоит 10 000 рублей. Для детей до 14 лет скидка составляет 50%. Хорошо. Спасибо большое. Можно я получу билет? Да, конечно. Сколько билетов вам нужно? Два билета взрослых и один детский. Хорошо. Спасибо. Спасибо.
3373878;4;"Вопрос устной части экзамена. Опишите картинку.
Ваше сообщение должно содержать следующую информацию. – Что изображено на рисунке (место;время года и т.д.)? – Кого Вы видите на рисунке? – Что делают эти люди? – Расскажите подробнее о любом человеке;изображённом на рисунке. – Как Вы думаете;какой это человек? – Как у Вас обычно проходит выходной день?
";https://storage-public.odin.study/c247267a-5a7f-46cc-89fe-8c5961573470.PNG;2;Следующее задание. Вам нужно описать картинку. Описать можно не сразу, можно рассмотреть, подготовиться. Ваше сообщение должно содержать следующую информацию. Что изображено на рисунке? Место, время года. Кого вы видите на рисунке? Что делают эти люди? Также нужно подробно рассказать о любом человеке, изображенном на рисунке. Как вы думаете, какой это человек? И когда пишете картинку, вопрос поем, как у вас обычно проходит выходной день. Пока рассмотрим. Как будете готовы описывать, можете начинать. Время есть, рассмотреть. Готово. Хорошо. На рисунке изображено место. То есть, это происходит на улице. Время года. Это весна. Также это заметно по гороскопу. Это заметно по птичкам, растающему снегу, таянию льда на крышах. Что делают эти люди? Кто-то едет на работу или может быть по своим каким-то делам на велосипеде. Кто-то выходной. Возможно, пусть будет это выходной день. Молодые люди гуляют. У них проходит какое-то свидание, возможно. Как раз такое время, что весна. Весна. Весна. Весна. Весна. Тепло. Можно прогуляться. Детки играют на улице. Различные животные. Собачки, кошки. Уже все вышли на тепло. Ну и бабушки, как обычно, у нас всегда сидят, смотрят, рассматривают всех. И наслаждаются теплой погодой, солнышком. Так. А как вы решили выбрать какого-то человека и подробнее его описать? Могу выбрать девушку. Счастливая, довольная. Возможно, у нее это один из романтичных ее дней, где она гуляет с возлюбленным. И получила от него подарок с букетом цветов. Как проходит обычно мой выходной день? Это либо походы по тропе, либо походы по улице. Это все, что я делаю. Это все, что я делаю. Это все, что я делаю. Это все, что я делаю. Это все, что я делаю. Либо походы по торговым центрам, либо это занятия какими-то секциями, ну вот, как я и говорила плаваний, в волейболке или ещё что-либо. либо это занятия какими-то секциями, Community que estoy hablando de ces bloques de desc amplifier, de волейбол o volleyball o etc.. либо там, под просмотром какого-либо фильма. Вотém, me, o Dominican Invitado. цель посмотреть к microfilm or take a walk через улицу. l paras 4 лет или всей теплой погоде. assistir Sus remedy no lieber Thor in China или walking on the street. Какие у вас фильмы или сериал? 물ка ludicristoと思 τους Этоわか duyckс and pealı findeiane О чем он? Любовь, как бандит, встречает девушку, которая наоборот за то, чтобы люди всегда друг другу помогали. Она была врачом, она всегда всех лечила, вне зависимости от того, каким был человек. Кому бы вы посоветовали посмотреть этот сериал и почему? Я бы посоветовала посмотреть это всем молодым людям, чтобы они поняли, что быть бандитом это некрасиво, и что есть хорошие люди, которые могут тебя поменять. Хорошо. А можете рассказать, откуда вы приехали? Я приехала из Казахстана, из Бодарской области, и проживаю в селе Теренгволь. А что там есть? Там и с развлечением, можно сказать, мало чего, но также есть парки, школы, секции, ДК, где вы можете провести свое свободное время. Вы впервые в Омске или уже приезжали? Приезжала, посещала, так как я здесь учусь, мне приходится. Выезжать и приезжать сюда обратно. А где вы учитесь? Какую специальность получаете? Учусь в Омске, в Омском государственном техническом университете, на факультете художественного и технологического. Получаю специальность биотехнолога, то есть буду являться инженером-аппарантом. Планируете работать по своей специальности или рассматриваете какую-то другую сферу? Да, я планирую работать. Я планирую работать по своей специальности и хотела бы начать работу уже здесь, в свое гражданство, на жительство. Хорошо. А вы когда положите вид на жительство, вы планируете оставаться в Омске или какой-то другой город рассматриваете? Планирую пока оставаться в Омске, а дальше уже будет видно. А что вам нравится в Омске? В Омске для меня... Приятный, спокойный город, потому что как только я сюда приехала, почувствовала себя как дома. Вот. Город очень интересный, очень красивый. Да, есть места, где не прямо уж красиво, но центр я очень люблю. Центр города я очень люблю. Любите ли вы отдых на природе и часто ли бываете на природе? С семьей или друзьями? Да, я люблю отдых на природе. Часто так проводим свое свободное время, особенно летом. Где-то выезжаем отдыхать на какие-нибудь отдыхи, базы отдыха. Также там играем, населимся и отдыхаем. Когда последний раз на природе отдыхали? Что не было? В мае месяце мы и в июле мы ездили отдыхать на озера. Отдыхали, купались, жарили шашлыки. Вот. Ну и в принципе общались все компаниями. А любите ли вы путешествовать и где вы побывали? Может в городах России или в городах Казахстана? Я мало путешествую, но была в Тобольске, в Тюмени, что мне очень понравилось. И вообще очень красивые города, чистые. Ну и тоже бы их рассмотрела для того, чтобы остаться там. Хорошо. На этом все. До встречи.
3373879;2;"Вопрос устной части экзамена. Примите участие в диалоге. Ответьте на вопросы собеседника полными предложениями.
– Какие фильмы или сериалы Вы любите смотреть? Фантастику;детективы или романтические фильмы? – ... – Вам нравятся новые фильмы или старые? Цветные или чёрно-белые?Почему? – ... – О чём Ваш любимый фильм? – ... – Кому бы Вы посоветовали его посмотреть и почему? – ...";;2;Следующий вопрос. Твоё участие в диалоге. Ответьте на вопросы собеседника полными предложениями. Какие фильмы или сериалы вы любите смотреть? Фантастику, детективы или романтические фильмы? Ну, в основном, люблю смотреть фантастику, так как там все красочно, ну, никак в реальной жизни, все это не описывается. Последний фильм, какой смотрели, можете рассказать? Наверное, «Трансформер». Да. Я фильмы смотрел. О чем он? Ну, в основном, о машинах, которые роботы, грубо говоря. Вот. И они, как сказать, воюют с землей против других роботов, тоже машины. Угу, хорошо. Вам нравятся новые фильмы или старые? Цветные или черно-белые? Почему? Ну, нравятся и новые, и старые фильмы тоже. Ну, в основном, те, которые... Старые фильмы, в основном, военные. Ну, а новые, там, современные всякие, всякие разные. Угу. А почему нравятся? Ну, старые, это история. В основном, военные. А цветные, ну, потому что красочно все. Угу, хорошо. Хорошо. О чем ваш любимый фильм? Это вопрос. Значит, затрудняюсь ответить. Ну, давайте, как мы сказали, смотрели «Трансформеры», а какой-нибудь вот старый фильм, который можете рассказать? Ну, есть один, но он недостаточно старый. Ну, не важно. Фильм, который полностью... Т-34, тоже моя. Т-34. Почему? Как военные попали в плен и выбирались оттуда, собирали там танк своими силами и выбирались с этого плена на этом планете. Угу. Вот. Кому бы вы посоветовали его посмотреть? Почему? Ну, посоветую посмотреть, конечно, современному поколению, который в основном, как сказать... Ну, я не знаю эту историю. Вот. Чтобы хоть как-то знали о чем-то. Угу. Хорошо. А вы знаете? Ну, знаю, но не прям... Прям хорошо.
3373879;3;"Вопрос устной части экзамена. Начните диалог. Получите нужную Вам информацию. Будьте вежливы.
Представьте ситуацию. Вы пришли в медицинский центр. Вам необходимо оформить медицинскую книжку. Поздоровайтесь. Узнайте у администратора;как можно оформить медицинскую книжку в этом центре. Поблагодарите за полученную информацию и оцените работу с Вами как с посетителем центра.";;1;Начните диалог. Получите нужную вам информацию, будьте вежливы. Представьте ситуацию. Вы пришли в медицинский центр. Вам необходимо оформить медицинскую... медицинскую книжку. Поздоровайтесь. Узнайте у администратора, как можно оформить медицинскую книжку в этом центре. Поблагодарите за полученную информацию и оцените работу с вами как с посетителем центра. Здравствуйте. Здравствуйте. Слушаю вас. Скажите, пожалуйста, а как мне можно оформить медицинскую книжку и кому мне обратиться? Паспорт у вас есть? Да, паспорт с собой. Полис? Полис тоже будет с собой. Флюорография? Флюорографии не делали. И не делали? И не делали. И не делали. А направление от работодателя? Тоже не будет. Тоже не будет. Ну, в таком случае для вас это будет платно. Сначала идете оплачиваете, затем подходите в третье окошко, вам там оформят документы и выпишут обходной лист, где будут указаны все врачи и анализы, которые нужно будет сдать. Получается, мне не надо будет сначала оплатить все? Да, оплатить все, а потом идти все по документам сдавать, по кабинетам. Все правильно? Да, да, да. А оплачивать ты расскажешь нигде? Оплачивать на четвертом этаже у нас касса, лифт не работает. Лифт не работает. Пойдете? Конечно. Выбора нет. Хорошо, вот вам тогда направление и затем с чеком подходите без очереди вот в третье окошко, вам там оформят все документы. И проходить будете тоже без очереди. Все, хорошо, понял, спасибо. Хорошо, до свидания.
